location,location_type,country,province,county,city
Argentina-Buenos_Aires,province,Argentina,Buenos Aires,,
Argentina-CABA,province,Argentina,Ciudad de Buenos Aires,,
Argentina-Cordoba,province,Argentina,Cordoba,,
Argentina-Entre_Rios,province,Argentina,Entre Rios,,
Argentina-Santa_Fe,province,Argentina,Santa Fe,,
Argentina-Chaco,province,Argentina,Chaco,,
Argentina-Corrientes,province,Argentina,Corrientes,,
Argentina-Formosa,province,Argentina,Formosa,,
Argentina-Misiones,province,Argentina,Misiones,,
Argentina-Catamarca,province,Argentina,Catamarca,,
Argentina-Jujuy,province,Argentina,Jujuy,,
Argentina-Salta,province,Argentina,Salta,,
Argentina-Sgo_Del_Estero,province,Argentina,Santiago Del Estero,,
Argentina-Tucuman,province,Argentina,Tucuman,,
Argentina-La_Rioja,province,Argentina,La Rioja,,
Argentina-San_Luis,province,Argentina,San Luis,,
Argentina-Mendoza,province,Argentina,Mendoza,,
Argentina-San_Juan,province,Argentina,San Juan,,
Argentina-Chubut,province,Argentina,Chubut,,
Argentina-La_Pampa,province,Argentina,La Pampa,,
Argentina-Rio_Negro,province,Argentina,Rio Negro,,
Argentina-Santa_Cruz,province,Argentina,Santa Cruz,,
Argentina-Neuquen,province,Argentina,Neuquen,,
Argentina-Tierra_del_Fuego,province,Argentina,Tierra del Fuego,,
Brazil-Alagoas,province,Brazil,Alagoas,,
Brazil-Bahia,province,Brazil,Bahia,,
Brazil-Ceara,province,Brazil,Ceara,,
Brazil-Maranhao,province,Brazil,Maranhao,,
Brazil-Paraiba,province,Brazil,Paraiba,,
Brazil-Pernambuco,province,Brazil,Pernambuco,,
Brazil-Piaui,province,Brazil,Piaui,,
Brazil-Rio_Grande_do_Norte,province,Brazil,Rio Grande do Norte,,
Brazil-Sergipe,province,Brazil,Sergipe,,
Brazil-Espirito_Santo,province,Brazil,Espirito Santo,,
Brazil-Minas_Gerais,province,Brazil,Minas Gerais,,
Brazil-Rio_de_Janeiro,province,Brazil,Rio de Janeiro,,
Brazil-Sao_Paulo,province,Brazil,Sao Paulo,,
Brazil-Acre,province,Brazil,Acre,,
Brazil-Amapa,province,Brazil,Amapa,,
Brazil-Amazonas,province,Brazil,Amazonas,,
Brazil-Para,province,Brazil,Para,,
Brazil-Rondonia,province,Brazil,Rondonia,,
Brazil-Roraima,province,Brazil,Roraima,,
Brazil-Tocantins,province,Brazil,Tocantins,,
Brazil-Distrito_Federal,province,Brazil,Distrito Federal,,
Brazil-Goias,province,Brazil,Goias,,
Brazil-Mato_Grosso,province,Brazil,Mato Grosso,,
Brazil-Mato_Grosso_do_Sul,province,Brazil,Mato Grosso do Sul,,
Brazil-Parana,province,Brazil,Parana,,
Brazil-Santa_Catarina,province,Brazil,Santa Catarina,,
Brazil-Rio_Grande_do_Sul,province,Brazil,Rio Grande do Sul,,
Colombia-Antioquia-Medellin,city,Colombia,Antioquia,Medellin,Medellin
Colombia-Antioquia-Abejorral,city,Colombia,Antioquia,Abejorral,Abejorral
Colombia-Antioquia-Abriaqui,city,Colombia,Antioquia,Abriaqui,Abriaqui
Colombia-Antioquia-Alejandria,city,Colombia,Antioquia,Alejandria,Alejandria
Colombia-Antioquia-Amaga,city,Colombia,Antioquia,Amaga,Amaga
Colombia-Antioquia-Amalfi,city,Colombia,Antioquia,Amalfi,Amalfi
Colombia-Antioquia-Andes,city,Colombia,Antioquia,Andes,Andes
Colombia-Antioquia-Angelopolis,city,Colombia,Antioquia,Angelopolis,Angelopolis
Colombia-Antioquia-Angostura,city,Colombia,Antioquia,Angostura,Angostura
Colombia-Antioquia-Anori,city,Colombia,Antioquia,Anori,Anori
Colombia-Antioquia-Santafe_De_Antioquia,city,Colombia,Antioquia,Santafe De Antioquia,Santafe De Antioquia
Colombia-Antioquia-Anza,city,Colombia,Antioquia,Anza,Anza
Colombia-Antioquia-Apartado,city,Colombia,Antioquia,Apartado,Apartado
Colombia-Antioquia-Arboletes,city,Colombia,Antioquia,Arboletes,Arboletes
Colombia-Antioquia-Argelia,city,Colombia,Antioquia,Argelia,Argelia
Colombia-Antioquia-Armenia,city,Colombia,Antioquia,Armenia,Armenia
Colombia-Antioquia-Barbosa,city,Colombia,Antioquia,Barbosa,Barbosa
Colombia-Antioquia-Belmira,city,Colombia,Antioquia,Belmira,Belmira
Colombia-Antioquia-Bello,city,Colombia,Antioquia,Bello,Bello
Colombia-Antioquia-Betania,city,Colombia,Antioquia,Betania,Betania
