location,location_type,country,province,county,city,latitude,longitude
Argentina-Buenos_Aires,province,Argentina,Buenos Aires,,,-34.6036844,-58.3815591
Argentina-CABA,province,Argentina,Ciudad de Buenos Aires,,,-34.6036844,-58.3815591
Argentina-Cordoba,province,Argentina,Cordoba,,,-31.42008329999999,-64.1887761
Argentina-Entre_Rios,province,Argentina,Entre Rios,,,-31.7746654,-60.49564609999999
Argentina-Santa_Fe,province,Argentina,Santa Fe,,,-31.6106578,-60.697294
Argentina-Chaco,province,Argentina,Chaco,,,-27.4257175,-59.02437839999999
Argentina-Corrientes,province,Argentina,Corrientes,,,-27.4692131,-58.8306349
Argentina-Formosa,province,Argentina,Formosa,,,-26.1857768,-58.1755669
Argentina-Misiones,province,Argentina,Misiones,,,-27.4269255,-55.9467076
Argentina-Catamarca,province,Argentina,Catamarca,,,-28.469581,-65.7795441
Argentina-Jujuy,province,Argentina,Jujuy,,,-24.1843397,-65.302177
Argentina-Salta,province,Argentina,Salta,,,-24.7821269,-65.4231976
Argentina-Sgo_Del_Estero,province,Argentina,Santiago Del Estero,,,-27.7833574,-64.264167
Argentina-Tucuman,province,Argentina,Tucuman,,,-26.8082848,-65.2175903
Argentina-La_Rioja,province,Argentina,La Rioja,,,-29.4134538,-66.8564579
Argentina-San_Luis,province,Argentina,San Luis,,,-33.3017267,-66.3377522
Argentina-Mendoza,province,Argentina,Mendoza,,,-32.8894587,-68.8458386
Argentina-San_Juan,province,Argentina,San Juan,,,-31.5351074,-68.5385941
Argentina-Chubut,province,Argentina,Chubut,,,-43.2934246,-65.11148179999999
Argentina-La_Pampa,province,Argentina,La Pampa,,,-36.6147573,-64.2839209
Argentina-Rio_Negro,province,Argentina,Rio Negro,,,-40.8261434,-63.0266339
Argentina-Santa_Cruz,province,Argentina,Santa Cruz,,,-51.6352821,-69.24743529999999
Argentina-Neuquen,province,Argentina,Neuquen,,,-38.9516784,-68.0591888
Argentina-Tierra_del_Fuego,province,Argentina,Tierra del Fuego,,,-54.8053998,-68.3242061
Brazil-Alagoas,province,Brazil,Alagoas,,,-9.5713058,-36.7819505
Brazil-Bahia,province,Brazil,Bahia,,,-12.579738,-41.7007272
Brazil-Ceara,province,Brazil,Ceara,,,-5.4983977,-39.3206241
Brazil-Maranhao,province,Brazil,Maranhao,,,-4.9609498,-45.2744159
Brazil-Paraiba,province,Brazil,Paraiba,,,-7.239960900000001,-36.7819505
Brazil-Pernambuco,province,Brazil,Pernambuco,,,-8.8137173,-36.954107
Brazil-Piaui,province,Brazil,Piaui,,,-7.718340100000001,-42.72892359999999
Brazil-Rio_Grande_do_Norte,province,Brazil,Rio Grande do Norte,,,-5.402580299999999,-36.954107
Brazil-Sergipe,province,Brazil,Sergipe,,,-10.5740934,-37.3856581
Brazil-Espirito_Santo,province,Brazil,Espirito Santo,,,-19.1834229,-40.3088626
Brazil-Minas_Gerais,province,Brazil,Minas Gerais,,,-18.512178,-44.5550308
Brazil-Rio_de_Janeiro,province,Brazil,Rio de Janeiro,,,-22.9068467,-43.1728965
Brazil-Sao_Paulo,province,Brazil,Sao Paulo,,,-23.5505199,-46.63330939999999
Brazil-Acre,province,Brazil,Acre,,,-9.0237964,-70.81199529999999
Brazil-Amapa,province,Brazil,Amapa,,,0.9019925,-52.0029565
Brazil-Amazonas,province,Brazil,Amazonas,,,-3.4168427,-65.8560646
Brazil-Para,province,Brazil,Para,,,-1.9981271,-54.9306152
Brazil-Rondonia,province,Brazil,Rondonia,,,-11.5057341,-63.580611
Brazil-Roraima,province,Brazil,Roraima,,,2.7375971,-62.0750998
Brazil-Tocantins,province,Brazil,Tocantins,,,-10.17528,-48.2982474
