Airlines,city,FAA,IATA,ICAO,kind,latitude,longitude,max_runway,name,country,state
4,BAHIA BLANCA,,BHI,SAZB,Medium,-38.725,-62.169,8579.0,COMANDANTE ESPORA,Argentina,
,Buenos Aires,,,SADM,Medium,-34.676,-58.643,9350.0,MORON,Argentina,
,Buenos Aires,,EPA,SADP,Medium,-34.61,-58.613,6923.0,EL PALOMAR,Argentina,
41,Buenos Aires,,EZE,SAEZ,Large,-34.822,-58.536,10827.0,MINISTRO PISTARINI,Argentina,
10,Buenos Aires,,AEP,SABE,Medium,-34.559,-58.416,6890.0,AEROPARQUE JORGE NEWBERY,Argentina,
2,Catamarca,,CTC,SANC,Medium,-28.593,-65.751,9186.0,CATAMARCA,Argentina,
4,Comodoro Rivadavia,,CRD,SAVC,Medium,-45.785,-67.466,9275.0,COMODORO RIVADAVIA,Argentina,
,Concordia,,COC,SAAC,Medium,-31.297,-57.997,5249.0,COMODORO PIERRESTEGUI,Argentina,
11,Cordoba,,COR,SACO,Medium,-31.324,-64.208,10410.0,AMBROSIO L V TARAVELLA,Argentina,
2,Corrientes,,CNQ,SARC,Medium,-27.446,-58.762,6890.0,CORRIENTES,Argentina,
,Curuzu Cuatia,,UZU,SATU,Medium,-29.771,-57.979,6960.0,CURUZU CUATIA,Argentina,
,Cutral-Co,,CUT,SAZW,Medium,-38.94,-69.265,5558.0,CUTRALCO,Argentina,
1,El Bolson,,EHL,SAVB,Medium,-41.943,-71.532,4265.0,EL BOLSON,Argentina,
5,El Calafate,,FTE,SAWC,Medium,-50.28,-72.053,8366.0,EL CALAFATE,Argentina,
2,Esquel,,EQS,SAVE,Medium,-42.908,-71.139,7785.0,ESQUEL,Argentina,
1,Formosa,,FMA,SARF,Medium,-26.213,-58.228,5905.0,FORMOSA,Argentina,
,General Pico,,GPO,SAZG,Medium,-35.696,-63.758,7710.0,GENERAL PICO,Argentina,
,Goya,,OYA,SATG,Medium,-29.099,-59.251,6988.0,GOYA,Argentina,
,Gualeguaychu,,GHU,SAAG,Medium,-33.01,-58.613,4357.0,GUALEGUAYCHU,Argentina,
