vector,occurrence_id,source_type,location_type,polygon_admin,latitude,longitude,year,country,country_id,gaul_ad0,status
Aedes albopictus,34479,unpublished,point,-999,22.89,120.44,2006,Taiwan,TWN,886,
Aedes albopictus,34478,unpublished,point,-999,22.86,120.4,2006,Taiwan,TWN,886,
Aedes albopictus,34481,unpublished,point,-999,22.94,120.24,2006,Taiwan,TWN,886,
Aedes albopictus,34480,unpublished,point,-999,23.4,120.36,2006,Taiwan,TWN,886,
Aedes albopictus,34494,unpublished,point,-999,22.91,120.48,2006,Taiwan,TWN,886,
Aedes albopictus,34483,unpublished,point,-999,23.03,120.23,2006,Taiwan,TWN,886,
Aedes albopictus,34512,unpublished,point,-999,22.65,120.45,2006,Taiwan,TWN,886,
Aedes albopictus,34511,unpublished,point,-999,22.65,120.48,2006,Taiwan,TWN,886,
Aedes albopictus,34510,unpublished,point,-999,22.7,120.47,2006,Taiwan,TWN,886,
Aedes albopictus,34509,unpublished,point,-999,22.66,120.51,2006,Taiwan,TWN,886,
Aedes albopictus,34507,unpublished,point,-999,22.99,120.21,2006,Taiwan,TWN,886,
Aedes albopictus,34506,unpublished,point,-999,23.06,120.17,2006,Taiwan,TWN,886,
Aedes albopictus,34505,unpublished,point,-999,22.99,120.2,2006,Taiwan,TWN,886,
Aedes albopictus,34504,unpublished,point,-999,22.63,120.47,2006,Taiwan,TWN,886,
Aedes albopictus,34503,unpublished,point,-999,22.96,120.22,2006,Taiwan,TWN,886,
Aedes albopictus,34502,unpublished,point,-999,22.99,120.23,2006,Taiwan,TWN,886,
Aedes albopictus,34501,unpublished,point,-999,23.04,120.23,2006,Taiwan,TWN,886,
Aedes albopictus,34500,unpublished,point,-999,22.97,120.29,2006,Taiwan,TWN,886,
Aedes albopictus,34499,unpublished,point,-999,23.37,120.36,2006,Taiwan,TWN,886,
Aedes albopictus,34498,unpublished,point,-999,22.75,120.3,2006,Taiwan,TWN,886,
Aedes albopictus,34497,unpublished,point,-999,23.32,120.31,2006,Taiwan,TWN,886,
Aedes albopictus,34496,unpublished,point,-999,22.99,120.26,2006,Taiwan,TWN,886,
Aedes albopictus,34495,unpublished,point,-999,22.89,120.47,2006,Taiwan,TWN,886,
Aedes albopictus,34513,unpublished,point,-999,22.74,120.25,2006,Taiwan,TWN,886,
Aedes albopictus,34482,unpublished,point,-999,23.02,120.22,2006,Taiwan,TWN,886,
Aedes albopictus,34514,unpublished,point,-999,23.01,120.23,2006,Taiwan,TWN,886,
Aedes albopictus,34516,unpublished,point,-999,23.12,120.26,2006,Taiwan,TWN,886,
Aedes albopictus,34484,unpublished,point,-999,23.01,120.29,2006,Taiwan,TWN,886,
Aedes albopictus,34485,unpublished,point,-999,22.98,120.28,2006,Taiwan,TWN,886,
Aedes albopictus,34486,unpublished,point,-999,23.0,120.3,2006,Taiwan,TWN,886,
Aedes albopictus,34487,unpublished,point,-999,23.39,120.39,2006,Taiwan,TWN,886,
Aedes albopictus,34488,unpublished,point,-999,22.99,120.26,2006,Taiwan,TWN,886,
Aedes albopictus,34489,unpublished,point,-999,22.67,120.36,2006,Taiwan,TWN,886,
Aedes albopictus,34490,unpublished,point,-999,23.32,120.34,2006,Taiwan,TWN,886,
Aedes albopictus,34491,unpublished,point,-999,22.91,120.25,2006,Taiwan,TWN,886,
Aedes albopictus,34492,unpublished,point,-999,22.9,120.25,2006,Taiwan,TWN,886,
Aedes albopictus,34493,unpublished,point,-999,22.76,120.31,2006,Taiwan,TWN,886,
Aedes albopictus,34523,unpublished,point,-999,23.32,120.27,2006,Taiwan,TWN,886,
Aedes albopictus,34522,unpublished,point,-999,23.01,120.24,2006,Taiwan,TWN,886,
Aedes albopictus,34521,unpublished,point,-999,23.32,120.24,2006,Taiwan,TWN,886,
Aedes albopictus,34520,unpublished,point,-999,22.8,120.28,2006,Taiwan,TWN,886,
Aedes albopictus,34519,unpublished,point,-999,23.27,120.24,2006,Taiwan,TWN,886,
Aedes albopictus,34518,unpublished,point,-999,23.31,120.33,2006,Taiwan,TWN,886,
Aedes albopictus,34517,unpublished,point,-999,22.89,120.66,2006,Taiwan,TWN,886,
Aedes albopictus,34515,unpublished,point,-999,22.98,120.48,2006,Taiwan,TWN,886,
Aedes albopictus,34508,unpublished,point,-999,22.64,120.45,2006,Taiwan,TWN,886,
Aedes albopictus,34412,unpublished,point,-999,23.01,120.22,2006,Taiwan,TWN,886,
Aedes albopictus,34525,unpublished,point,-999,22.87,120.56,2006,Taiwan,TWN,886,
Aedes albopictus,34548,unpublished,point,-999,22.63,120.5,2006,Taiwan,TWN,886,
Aedes albopictus,34549,unpublished,point,-999,22.63,120.48,2006,Taiwan,TWN,886,
Aedes albopictus,34550,unpublished,point,-999,23.13,120.2,2006,Taiwan,TWN,886,
Aedes albopictus,34551,unpublished,point,-999,23.08,120.2,2006,Taiwan,TWN,886,
Aedes albopictus,34552,unpublished,point,-999,23.13,120.23,2006,Taiwan,TWN,886,
Aedes albopictus,34553,unpublished,point,-999,23.14,120.22,2006,Taiwan,TWN,886,
Aedes albopictus,34554,unpublished,point,-999,23.01,120.23,2006,Taiwan,TWN,886,
Aedes albopictus,34555,unpublished,point,-999,23.18,120.24,2006,Taiwan,TWN,886,
Aedes albopictus,34556,unpublished,point,-999,22.8,120.25,2006,Taiwan,TWN,886,
Aedes albopictus,34557,unpublished,point,-999,23.15,120.2,2006,Taiwan,TWN,886,
Aedes albopictus,34558,unpublished,point,-999,23.23,120.19,2006,Taiwan,TWN,886,
Aedes albopictus,34559,unpublished,point,-999,23.11,120.2,2006,Taiwan,TWN,886,
Aedes albopictus,34560,unpublished,point,-999,23.13,120.18,2006,Taiwan,TWN,886,
Aedes albopictus,34561,unpublished,point,-999,23.22,120.18,2006,Taiwan,TWN,886,
