location,date,zika_bool
Argentina-San_Juan,2016-03-19,0
Argentina-San_Juan,2016-04-29,1
Brazil-Amapa,2016-04-02,1
Brazil-Amapa,2016-02-13,0
Brazil-Amazonas,2016-02-27,1
Brazil-Amazonas,2016-02-13,0
Brazil-Santa_Catarina,2016-02-13,0
Brazil-Santa_Catarina,2016-03-05,1
Colombia-Amazonas-La_Pedrera,2016-01-09,0
Colombia-Amazonas-La_Pedrera,2016-06-18,1
Colombia-Amazonas-Puerto_Arica,2016-01-09,0
Colombia-Amazonas-Puerto_Arica,2016-06-18,1
Colombia-Amazonas-Puerto_Narino,2016-01-09,0
Colombia-Amazonas-Puerto_Narino,2016-04-02,1
Colombia-Antioquia-Abejorral,2016-01-09,0
Colombia-Antioquia-Abejorral,2016-01-16,1
Colombia-Antioquia-Amaga,2016-01-30,1
Colombia-Antioquia-Amaga,2016-01-09,0
Colombia-Antioquia-Amalfi,2016-01-09,0
Colombia-Antioquia-Amalfi,2016-04-09,1
Colombia-Antioquia-Andes,2016-03-26,1
Colombia-Antioquia-Andes,2016-01-09,0
Colombia-Antioquia-Angelopolis,2016-02-13,1
Colombia-Antioquia-Angelopolis,2016-01-09,0
Colombia-Antioquia-Anza,2016-01-09,0
Colombia-Antioquia-Anza,2016-05-07,1
Colombia-Antioquia-Arboletes,2016-01-23,1
Colombia-Antioquia-Arboletes,2016-01-09,0
Colombia-Antioquia-Argelia,2016-06-18,1
Colombia-Antioquia-Argelia,2016-01-09,0
Colombia-Antioquia-Armenia,2016-01-30,1
Colombia-Antioquia-Armenia,2016-01-09,0
Colombia-Antioquia-Belmira,2016-05-28,1
Colombia-Antioquia-Belmira,2016-01-09,0
Colombia-Antioquia-Betania,2016-03-26,1
Colombia-Antioquia-Betania,2016-01-09,0
Colombia-Antioquia-Betulia,2016-06-18,1
Colombia-Antioquia-Betulia,2016-01-09,0
Colombia-Antioquia-Buritica,2016-01-09,0
Colombia-Antioquia-Buritica,2016-06-18,1
Colombia-Antioquia-Caceres,2016-01-30,1
Colombia-Antioquia-Caceres,2016-01-09,0
Colombia-Antioquia-Caicedo,2016-06-18,1
Colombia-Antioquia-Caicedo,2016-01-09,0
Colombia-Antioquia-Caldas,2016-01-30,1
Colombia-Antioquia-Caldas,2016-01-09,0
Colombia-Antioquia-Caracoli,2016-02-13,1
Colombia-Antioquia-Caracoli,2016-01-09,0
Colombia-Antioquia-Caramanta,2016-01-09,0
Colombia-Antioquia-Caramanta,2016-06-18,1
Colombia-Antioquia-Carolina,2016-06-18,1
Colombia-Antioquia-Carolina,2016-01-09,0
Colombia-Antioquia-Chigorodo,2016-01-09,0
Colombia-Antioquia-Chigorodo,2016-01-16,1
Colombia-Antioquia-Cisneros,2016-03-05,1
Colombia-Antioquia-Cisneros,2016-01-09,0
Colombia-Antioquia-Concordia,2016-04-30,1
Colombia-Antioquia-Concordia,2016-01-09,0
Colombia-Antioquia-Copacabana,2016-01-23,1
Colombia-Antioquia-Copacabana,2016-01-09,0
Colombia-Antioquia-Dabeiba,2016-01-09,0
Colombia-Antioquia-Dabeiba,2016-02-13,1
Colombia-Antioquia-Ebejico,2016-01-09,0
Colombia-Antioquia-Ebejico,2016-01-30,1
Colombia-Antioquia-El_Carmen_De_Viboral,2016-01-09,0
Colombia-Antioquia-El_Carmen_De_Viboral,2016-02-06,1
Colombia-Antioquia-Entrerrios,2016-06-18,1
Colombia-Antioquia-Entrerrios,2016-01-09,0
Colombia-Antioquia-Fredonia,2016-02-13,1
Colombia-Antioquia-Fredonia,2016-01-09,0
Colombia-Antioquia-Frontino,2016-01-09,0
Colombia-Antioquia-Frontino,2016-05-14,1
Colombia-Antioquia-Giraldo,2016-06-18,1
Colombia-Antioquia-Giraldo,2016-01-09,0
Colombia-Antioquia-Gomez_Plata,2016-01-09,0
Colombia-Antioquia-Gomez_Plata,2016-06-18,1
Colombia-Antioquia-Granada,2016-01-30,1
Colombia-Antioquia-Granada,2016-01-09,0
Colombia-Antioquia-Guarne,2016-01-09,0
