location,cases_first_date,cases_total,date,zika_bool
Argentina-Buenos_Aires,130,3028,2016-03-19,1
Argentina-CABA,77,1872,2016-03-19,1
Argentina-Catamarca,14,212,2016-03-19,1
Argentina-Chaco,48,984,2016-03-19,1
Argentina-Chubut,6,82,2016-03-19,1
Argentina-Cordoba,25,1143,2016-03-19,1
Argentina-Corrientes,20,285,2016-03-19,1
Argentina-Entre_Rios,28,538,2016-03-19,1
Argentina-Formosa,8,118,2016-03-19,1
Argentina-Jujuy,245,8819,2016-03-19,1
Argentina-La_Pampa,2,24,2016-03-19,1
Argentina-La_Rioja,3,40,2016-03-19,1
Argentina-Mendoza,13,284,2016-03-19,1
Argentina-Misiones,6,92,2016-03-19,1
Argentina-Neuquen,16,260,2016-03-19,1
Argentina-Rio_Negro,5,109,2016-03-19,1
Argentina-Salta,61,1785,2016-03-19,1
Argentina-San_Juan,0,11,2016-04-29,1
Argentina-San_Luis,9,147,2016-03-19,1
Argentina-Santa_Cruz,7,118,2016-03-19,1
Argentina-Santa_Fe,15,417,2016-03-19,1
Argentina-Sgo_Del_Estero,4,78,2016-03-19,1
Argentina-Tierra_Del_Fuego,0,0,2016-04-29,0
Argentina-Tierra_del_Fuego,0,0,2016-03-19,0
Argentina-Tucuman,36,847,2016-03-19,1
Brazil,91387,925732,2016-04-02,1
Brazil-Acre,23,5715,2016-02-13,1
Brazil-Alagoas,119,19862,2016-02-13,1
Brazil-Amapa,0,1034,2016-04-02,1
Brazil-Amazonas,0,14810,2016-02-27,1
Brazil-Bahia,708,284410,2016-02-13,1
Brazil-Ceara,279,13856,2016-02-13,1
Brazil-Distrito_Federal,6,2326,2016-02-13,1
Brazil-Espirito_Santo,61,15179,2016-02-13,1
Brazil-Goias,80,19280,2016-02-13,1
Brazil-Maranhao,160,17927,2016-02-13,1
Brazil-Mato_Grosso,125,128803,2016-02-13,1
Brazil-Mato_Grosso_do_Sul,6,4137,2016-02-13,1
Brazil-Minas_Gerais,26,74498,2016-02-13,1
Brazil-Para,11,10029,2016-02-13,1
Brazil-Paraiba,493,25866,2016-02-13,1
Brazil-Parana,3,13621,2016-02-13,1
Brazil-Pernambuco,1401,27656,2016-02-13,1
Brazil-Piaui,110,3010,2016-02-13,1
Brazil-Rio_Grande_do_Norte,314,19389,2016-02-13,1
Brazil-Rio_Grande_do_Sul,1,2817,2016-02-13,1
Brazil-Rio_de_Janeiro,229,263516,2016-02-13,1
Brazil-Rondonia,1,6288,2016-02-13,1
Brazil-Roraima,8,823,2016-02-13,1
Brazil-Santa_Catarina,0,666,2016-03-05,1
Brazil-Sao_Paulo,115,26485,2016-02-13,1
Brazil-Sergipe,184,7187,2016-02-13,1
Brazil-Tocantins,88,22343,2016-02-13,1
Centro-Oeste,17504,149672,2016-04-02,1
Colombia-Amazonas-El_Encanto,0,0,2016-01-09,0
Colombia-Amazonas-La_Chorrera,0,0,2016-01-09,0
Colombia-Amazonas-La_Pedrera,0,6,2016-06-18,1
Colombia-Amazonas-La_Victoria,0,0,2016-01-09,0
Colombia-Amazonas-Leticia,1,4407,2016-01-09,1
Colombia-Amazonas-Miriti_Parana,0,0,2016-01-09,0
Colombia-Amazonas-Puerto_Alegria,0,0,2016-01-09,0
Colombia-Amazonas-Puerto_Arica,0,18,2016-06-18,1
Colombia-Amazonas-Puerto_Narino,0,87,2016-04-02,1
Colombia-Amazonas-Puerto_Santander,0,0,2016-01-09,0
Colombia-Amazonas-Tarapaca,0,0,2016-01-09,0
Colombia-Amazonas-Unknown,5,641,2016-01-09,1
Colombia-Antioquia-Abejorral,0,65,2016-01-16,1
Colombia-Antioquia-Abriaqui,0,0,2016-01-09,0
Colombia-Antioquia-Alejandria,0,0,2016-01-09,0
Colombia-Antioquia-Amaga,0,72,2016-01-30,1
Colombia-Antioquia-Amalfi,0,1,2016-04-09,1
Colombia-Antioquia-Andes,0,35,2016-03-26,1
Colombia-Antioquia-Angelopolis,0,19,2016-02-13,1
Colombia-Antioquia-Angostura,0,0,2016-01-09,0
Colombia-Antioquia-Anori,0,0,2016-01-09,0
Colombia-Antioquia-Anza,0,344,2016-05-07,1
Colombia-Antioquia-Apartado,2,6087,2016-01-09,1
Colombia-Antioquia-Arboletes,0,269,2016-01-23,1
Colombia-Antioquia-Argelia,0,2,2016-06-18,1
Colombia-Antioquia-Armenia,0,79,2016-01-30,1
Colombia-Antioquia-Barbosa,1,49,2016-01-09,1
Colombia-Antioquia-Bello,7,708,2016-01-09,1
Colombia-Antioquia-Belmira,0,40,2016-05-28,1
Colombia-Antioquia-Betania,0,4,2016-03-26,1
Colombia-Antioquia-Betulia,0,3,2016-06-18,1
Colombia-Antioquia-Briceno,0,0,2016-01-09,0
Colombia-Antioquia-Buritica,0,42,2016-06-18,1
Colombia-Antioquia-Caceres,0,861,2016-01-30,1
Colombia-Antioquia-Caicedo,0,3,2016-06-18,1
Colombia-Antioquia-Caldas,0,73,2016-01-30,1
Colombia-Antioquia-Campamento,0,0,2016-01-09,0
Colombia-Antioquia-Canasgordas,2,50,2016-01-09,1
Colombia-Antioquia-Caracoli,0,20,2016-02-13,1
Colombia-Antioquia-Caramanta,0,113,2016-06-18,1
Colombia-Antioquia-Carepa,2,1914,2016-01-09,1
Colombia-Antioquia-Carolina,0,70,2016-06-18,1
Colombia-Antioquia-Caucasia,12,1812,2016-01-09,1
Colombia-Antioquia-Chigorodo,0,3021,2016-01-16,1
Colombia-Antioquia-Cisneros,0,3,2016-03-05,1
Colombia-Antioquia-Ciudad_Bolivar,2,139,2016-01-09,1
Colombia-Antioquia-Cocorna,1,9,2016-01-09,1
Colombia-Antioquia-Concepcion,0,0,2016-01-09,0
Colombia-Antioquia-Concordia,0,11,2016-04-30,1
Colombia-Antioquia-Copacabana,0,57,2016-01-23,1
Colombia-Antioquia-Dabeiba,0,76,2016-02-13,1
Colombia-Antioquia-Don_Matias,0,0,2016-01-09,0
Colombia-Antioquia-Ebejico,0,74,2016-01-30,1
Colombia-Antioquia-El_Bagre,1,88,2016-01-09,1
Colombia-Antioquia-El_Carmen_De_Viboral,0,35,2016-02-06,1
Colombia-Antioquia-El_Santuario,0,0,2016-01-09,0
Colombia-Antioquia-Entrerrios,0,11,2016-06-18,1
Colombia-Antioquia-Envigado,1,225,2016-01-09,1
Colombia-Antioquia-Fredonia,0,40,2016-02-13,1
Colombia-Antioquia-Frontino,0,4,2016-05-14,1
Colombia-Antioquia-Giraldo,0,2,2016-06-18,1
Colombia-Antioquia-Girardota,1,41,2016-01-09,1
Colombia-Antioquia-Gomez_Plata,0,2,2016-06-18,1
Colombia-Antioquia-Granada,0,55,2016-01-30,1
Colombia-Antioquia-Guadalupe,0,0,2016-01-09,0
