location,country
Argentina-Buenos_Aires,Argentina
Argentina-CABA,Argentina
Argentina-Cordoba,Argentina
Argentina-Entre_Rios,Argentina
Argentina-Santa_Fe,Argentina
Argentina-Chaco,Argentina
Argentina-Corrientes,Argentina
Argentina-Formosa,Argentina
Argentina-Misiones,Argentina
Argentina-Catamarca,Argentina
Argentina-Jujuy,Argentina
Argentina-Salta,Argentina
Argentina-Sgo_Del_Estero,Argentina
Argentina-Tucuman,Argentina
Argentina-La_Rioja,Argentina
Argentina-San_Luis,Argentina
Argentina-Mendoza,Argentina
Argentina-San_Juan,Argentina
Argentina-Chubut,Argentina
Argentina-La_Pampa,Argentina
Argentina-Rio_Negro,Argentina
Argentina-Santa_Cruz,Argentina
Argentina-Neuquen,Argentina
Argentina-Tierra_del_Fuego,Argentina
Brazil-Alagoas,Brazil
Brazil-Bahia,Brazil
Brazil-Ceara,Brazil
Brazil-Maranhao,Brazil
Brazil-Paraiba,Brazil
Brazil-Pernambuco,Brazil
Brazil-Piaui,Brazil
Brazil-Rio_Grande_do_Norte,Brazil
Brazil-Sergipe,Brazil
Brazil-Espirito_Santo,Brazil
Brazil-Minas_Gerais,Brazil
Brazil-Rio_de_Janeiro,Brazil
Brazil-Sao_Paulo,Brazil
Brazil-Acre,Brazil
Brazil-Amapa,Brazil
Brazil-Amazonas,Brazil
Brazil-Para,Brazil
Brazil-Rondonia,Brazil
Brazil-Roraima,Brazil
Brazil-Tocantins,Brazil
Brazil-Distrito_Federal,Brazil
Brazil-Goias,Brazil
Brazil-Mato_Grosso,Brazil
Brazil-Mato_Grosso_do_Sul,Brazil
Brazil-Parana,Brazil
Brazil-Santa_Catarina,Brazil
Brazil-Rio_Grande_do_Sul,Brazil
Colombia-Antioquia-Medellin,Colombia
Colombia-Antioquia-Abejorral,Colombia
Colombia-Antioquia-Abriaqui,Colombia
Colombia-Antioquia-Alejandria,Colombia
Colombia-Antioquia-Amaga,Colombia
Colombia-Antioquia-Amalfi,Colombia
Colombia-Antioquia-Andes,Colombia
Colombia-Antioquia-Angelopolis,Colombia
Colombia-Antioquia-Angostura,Colombia
Colombia-Antioquia-Anori,Colombia
Colombia-Antioquia-Santafe_De_Antioquia,Colombia
Colombia-Antioquia-Anza,Colombia
Colombia-Antioquia-Apartado,Colombia
Colombia-Antioquia-Arboletes,Colombia
Colombia-Antioquia-Argelia,Colombia
Colombia-Antioquia-Armenia,Colombia
Colombia-Antioquia-Barbosa,Colombia
Colombia-Antioquia-Belmira,Colombia
Colombia-Antioquia-Bello,Colombia
Colombia-Antioquia-Betania,Colombia
Colombia-Antioquia-Betulia,Colombia
Colombia-Antioquia-Ciudad_Bolivar,Colombia
Colombia-Antioquia-Briceno,Colombia
Colombia-Antioquia-Buritica,Colombia
Colombia-Antioquia-Caceres,Colombia
Colombia-Antioquia-Caicedo,Colombia
Colombia-Antioquia-Caldas,Colombia
Colombia-Antioquia-Campamento,Colombia
Colombia-Antioquia-Canasgordas,Colombia
Colombia-Antioquia-Caracoli,Colombia
Colombia-Antioquia-Caramanta,Colombia
Colombia-Antioquia-Carepa,Colombia
Colombia-Antioquia-El_Carmen_De_Viboral,Colombia
Colombia-Antioquia-Carolina,Colombia
Colombia-Antioquia-Caucasia,Colombia
Colombia-Antioquia-Chigorodo,Colombia
Colombia-Antioquia-Cisneros,Colombia
Colombia-Antioquia-Cocorna,Colombia
Colombia-Antioquia-Concepcion,Colombia
Colombia-Antioquia-Concordia,Colombia
Colombia-Antioquia-Copacabana,Colombia
Colombia-Antioquia-Dabeiba,Colombia
Colombia-Antioquia-Don_Matias,Colombia
Colombia-Antioquia-Ebejico,Colombia
Colombia-Antioquia-El_Bagre,Colombia
