location,date,zika_bool,max_temp,max_temp1,max_temp2,mean_temp,mean_temp1,mean_temp2,min_temp,min_temp1,min_temp2,dew_point,dew_point1,dew_point2,precipitation,precipitation1,precipitation2,wind,wind1,wind2,density_per_km,airport_dist_any,airport_dist_large,mosquito_dist,gdp,gdp_ppp
Panama-San_Miguelito-Villa_Guadalupe,2016-04-11,1,34.0,34.0,34.0,29.0,29.0,29.0,25.0,26.0,24.0,21.0,22.0,22.0,0.0,0.0,0.0,10.0,12.0,11.0,6892.4267578125,0.007645979238820681,0.013382544238818937,8.499765933438745,54.3,91.1
Colombia-Cundinamarca-San_Francisco,2016-06-04,1,20.0,67.0,68.0,14.0,59.0,60.0,9.0,51.0,51.0,9.0,51.0,50.0,0.0,0.0,0.0,8.0,6.0,7.0,97.35760498046875,0.09496846849999917,0.09496846849999917,0.14362736049999875,291.5,666.9
Colombia-Caldas-Aranzazu,2016-01-09,0,73.0,72.0,72.0,67.0,68.0,67.0,61.0,64.0,61.0,56.0,57.0,56.0,0.0,0.0,0.0,6.0,5.0,5.0,68.08667755126953,0.05916811353999984,2.129994041539994,0.5942655735399993,291.5,666.9
Colombia-Tolima-Cajamarca,2016-06-18,1,31.0,29.0,28.0,25.0,25.0,23.0,20.0,20.0,19.0,18.0,21.0,21.0,0.0,15.24,11.18,11.0,9.0,7.0,40.970481872558594,0.0867360196000042,1.7057088675999923,0.08239485160000007,291.5,666.9
Colombia-Antioquia-Salgar,2016-01-16,1,85.0,84.0,85.0,75.0,75.0,76.0,64.0,65.0,66.0,57.0,61.0,58.0,0.0,0.0,0.0,5.0,4.0,7.0,85.59178161621094,0.20496214426000658,4.892246736259991,0.20630562825999882,291.5,666.9
Colombia-Casanare-Hato_Corozal,2016-05-21,1,85.4,88.44,75.56,76.16,77.16,64.47999999999999,66.16,64.88,53.400000000000006,64.52,62.2,51.92,0.8132000000000001,0.0,0.0,4.48,4.52,3.72,3.8252382278442383,0.08765354051599987,7.797560008516021,2.7553145125160103,291.5,666.9
Colombia-Santander-El_Penon,2016-01-09,0,73.0,74.0,75.0,65.0,64.0,63.0,56.0,54.0,52.0,58.0,56.0,53.0,1.45,0.02,0.0,2.0,3.0,4.0,141.2722625732422,0.06329719021000335,3.378947792209978,0.15341607820999859,291.5,666.9
Colombia-Santander-Rionegro,2016-06-18,1,23.0,23.0,23.0,18.0,18.0,18.0,13.0,13.0,13.0,13.0,13.0,14.0,0.0,15.75,45.21,6.0,5.0,4.0,704.0064697265625,0.0027023937940003186,3.589971375793983,0.043641333793997886,291.5,666.9
Colombia-Antioquia-Andes,2016-05-07,1,19.0,20.0,21.0,15.0,16.0,15.0,10.0,11.0,10.0,11.0,12.0,9.0,0.0,0.0,0.0,9.0,10.0,12.0,2924.9482421875,0.03979561231299675,0.03979561231299675,0.03331048631300142,291.5,666.9
Dominican_Republic-Barahona,2016-05-07,1,30.0,31.0,32.0,27.0,27.0,28.0,23.0,23.0,23.0,24.0,24.0,22.0,1.02,0.0,0.0,12.0,17.0,23.0,2050.2607421875,0.0018242044502504225,2.102146169050236,1.1671120618502697,68.2,149.9
